d-step 1 epoch 1 : .......... average_loss = 0.6693, train_acc = 0.5928, val_acc = 0.6832
d-step 15 epoch 1 : .......... average_loss = 0.5009, train_acc = 0.7491, val_acc = 0.8119
d-step 15 epoch 2 : .......... average_loss = 0.4937, train_acc = 0.7548, val_acc = 0.7624
d-step 15 epoch 3 : .......... average_loss = 0.4872, train_acc = 0.7579, val_acc = 0.7228
d-step 16 epoch 1 : .......... average_loss = 0.5004, train_acc = 0.7499, val_acc = 0.8218
d-step 16 epoch 2 : .......... average_loss = 0.4924, train_acc = 0.7538, val_acc = 0.8020
d-step 16 epoch 3 : .......... average_loss = 0.4875, train_acc = 0.7563, val_acc = 0.7426
d-step 17 epoch 1 : .......... average_loss = 0.4859, train_acc = 0.7549, val_acc = 0.8119
d-step 17 epoch 2 : .......... average_loss = 0.4816, train_acc = 0.7614, val_acc = 0.7624
d-step 17 epoch 3 : .......... average_loss = 0.4769, train_acc = 0.7600, val_acc = 0.7327
d-step 18 epoch 1 : .......... average_loss = 0.4848, train_acc = 0.7607, val_acc = 0.8218
d-step 18 epoch 2 : .......... average_loss = 0.4784, train_acc = 0.7654, val_acc = 0.8020
d-step 18 epoch 3 : .......... average_loss = 0.4725, train_acc = 0.7660, val_acc = 0.7822
d-step 19 epoch 1 : .......... average_loss = 0.4782, train_acc = 0.7654, val_acc = 0.7426
d-step 19 epoch 2 : .......... average_loss = 0.4688, train_acc = 0.7704, val_acc = 0.7426
d-step 19 epoch 3 : .......... average_loss = 0.4662, train_acc = 0.7711, val_acc = 0.7327
d-step 20 epoch 1 : .......... average_loss = 0.4724, train_acc = 0.7670, val_acc = 0.8515
d-step 20 epoch 2 : .......... average_loss = 0.4656, train_acc = 0.7715, val_acc = 0.8416
d-step 20 epoch 3 : .......... average_loss = 0.4593, train_acc = 0.7776, val_acc = 0.8020
d-step 21 epoch 1 : .......... average_loss = 0.4681, train_acc = 0.7729, val_acc = 0.8218
d-step 21 epoch 2 : .......... average_loss = 0.4612, train_acc = 0.7766, val_acc = 0.7921
d-step 21 epoch 3 : .......... average_loss = 0.4553, train_acc = 0.7801, val_acc = 0.7822
d-step 22 epoch 1 : .......... average_loss = 0.4596, train_acc = 0.7778, val_acc = 0.7921
d-step 22 epoch 2 : .......... average_loss = 0.4543, train_acc = 0.7809, val_acc = 0.8119
d-step 22 epoch 3 : .......... average_loss = 0.4491, train_acc = 0.7846, val_acc = 0.8020
d-step 23 epoch 1 : .......... average_loss = 0.4616, train_acc = 0.7734, val_acc = 0.7426
d-step 23 epoch 2 : .......... average_loss = 0.4529, train_acc = 0.7800, val_acc = 0.6832
d-step 23 epoch 3 : .......... average_loss = 0.4485, train_acc = 0.7835, val_acc = 0.7525
d-step 24 epoch 1 : .......... average_loss = 0.4576, train_acc = 0.7786, val_acc = 0.7921
d-step 24 epoch 2 : .......... average_loss = 0.4473, train_acc = 0.7801, val_acc = 0.7822
d-step 24 epoch 3 : .......... average_loss = 0.4456, train_acc = 0.7869, val_acc = 0.7624
d-step 25 epoch 1 : .......... average_loss = 0.4481, train_acc = 0.7801, val_acc = 0.7426
d-step 25 epoch 2 : .......... average_loss = 0.4443, train_acc = 0.7858, val_acc = 0.7327
d-step 25 epoch 3 : .......... average_loss = 0.4382, train_acc = 0.7874, val_acc = 0.7723
d-step 26 epoch 1 : .......... average_loss = 0.4404, train_acc = 0.7855, val_acc = 0.7822
d-step 26 epoch 2 : .......... average_loss = 0.4344, train_acc = 0.7903, val_acc = 0.7822
d-step 26 epoch 3 : .......... average_loss = 0.4315, train_acc = 0.7947, val_acc = 0.7426
d-step 27 epoch 1 : .......... average_loss = 0.4412, train_acc = 0.7874, val_acc = 0.7822
d-step 27 epoch 2 : .......... average_loss = 0.4351, train_acc = 0.7922, val_acc = 0.7723
d-step 27 epoch 3 : .......... average_loss = 0.4278, train_acc = 0.7915, val_acc = 0.7822
d-step 28 epoch 1 : .......... average_loss = 0.4345, train_acc = 0.7926, val_acc = 0.7525
d-step 28 epoch 2 : .......... average_loss = 0.4238, train_acc = 0.7984, val_acc = 0.7525
d-step 28 epoch 3 : .......... average_loss = 0.4210, train_acc = 0.7976, val_acc = 0.7723
d-step 29 epoch 1 : .......... average_loss = 0.4325, train_acc = 0.7939, val_acc = 0.7723
d-step 29 epoch 2 : .......... average_loss = 0.4266, train_acc = 0.7959, val_acc = 0.7723
d-step 29 epoch 3 : .......... average_loss = 0.4236, train_acc = 0.7959, val_acc = 0.7624
d-step 30 epoch 1 : .......... average_loss = 0.4303, train_acc = 0.7948, val_acc = 0.7624
d-step 30 epoch 2 : .......... average_loss = 0.4253, train_acc = 0.7979, val_acc = 0.7822
d-step 30 epoch 3 : .......... average_loss = 0.4189, train_acc = 0.8011, val_acc = 0.7525
d-step 31 epoch 1 : .......... average_loss = 0.4247, train_acc = 0.7951, val_acc = 0.8020
d-step 31 epoch 2 : .......... average_loss = 0.4164, train_acc = 0.8018, val_acc = 0.7525
d-step 31 epoch 3 : .......... average_loss = 0.4102, train_acc = 0.8074, val_acc = 0.8020
d-step 32 epoch 1 : .......... average_loss = 0.4222, train_acc = 0.7993, val_acc = 0.7426
d-step 32 epoch 2 : .......... average_loss = 0.4146, train_acc = 0.8044, val_acc = 0.6832
d-step 32 epoch 3 : .......... average_loss = 0.4090, train_acc = 0.8074, val_acc = 0.7426
d-step 33 epoch 1 : .......... average_loss = 0.4090, train_acc = 0.8076, val_acc = 0.7723
d-step 33 epoch 2 : .......... average_loss = 0.4053, train_acc = 0.8067, val_acc = 0.7426
d-step 33 epoch 3 : .......... average_loss = 0.3992, train_acc = 0.8133, val_acc = 0.7723
d-step 34 epoch 1 : .......... average_loss = 0.4094, train_acc = 0.8077, val_acc = 0.7624
d-step 34 epoch 2 : .......... average_loss = 0.4037, train_acc = 0.8090, val_acc = 0.7525
d-step 34 epoch 3 : .......... average_loss = 0.4016, train_acc = 0.8098, val_acc = 0.7426
d-step 35 epoch 1 : .......... average_loss = 0.4096, train_acc = 0.8066, val_acc = 0.7030
d-step 35 epoch 2 : .......... average_loss = 0.4024, train_acc = 0.8127, val_acc = 0.7723
d-step 35 epoch 3 : .......... average_loss = 0.3953, train_acc = 0.8150, val_acc = 0.7525
d-step 36 epoch 1 : .......... average_loss = 0.4004, train_acc = 0.8130, val_acc = 0.6733
d-step 36 epoch 2 : .......... average_loss = 0.3928, train_acc = 0.8153, val_acc = 0.7426
d-step 36 epoch 3 : .......... average_loss = 0.3887, train_acc = 0.8169, val_acc = 0.7228
d-step 37 epoch 1 : .......... average_loss = 0.3988, train_acc = 0.8125, val_acc = 0.7228
d-step 37 epoch 2 : .......... average_loss = 0.3944, train_acc = 0.8128, val_acc = 0.6832
d-step 37 epoch 3 : .......... average_loss = 0.3891, train_acc = 0.8149, val_acc = 0.6931
d-step 38 epoch 1 : .......... average_loss = 0.3976, train_acc = 0.8128, val_acc = 0.7327
d-step 38 epoch 2 : .......... average_loss = 0.3923, train_acc = 0.8156, val_acc = 0.7030
d-step 38 epoch 3 : .......... average_loss = 0.3864, train_acc = 0.8171, val_acc = 0.7327
d-step 39 epoch 1 : .......... average_loss = 0.3960, train_acc = 0.8140, val_acc = 0.7228
d-step 39 epoch 2 : .......... average_loss = 0.3891, train_acc = 0.8198, val_acc = 0.7525
d-step 39 epoch 3 : .......... average_loss = 0.3871, train_acc = 0.8168, val_acc = 0.7129
d-step 40 epoch 1 : .......... average_loss = 0.3879, train_acc = 0.8204, val_acc = 0.6832
d-step 40 epoch 2 : .......... average_loss = 0.3797, train_acc = 0.8222, val_acc = 0.7426
d-step 40 epoch 3 : .......... average_loss = 0.3754, train_acc = 0.8272, val_acc = 0.7525
d-step 41 epoch 1 : .......... average_loss = 0.3937, train_acc = 0.8146, val_acc = 0.7327
d-step 41 epoch 2 : .......... average_loss = 0.3876, train_acc = 0.8167, val_acc = 0.7030
d-step 41 epoch 3 : .......... average_loss = 0.3841, train_acc = 0.8204, val_acc = 0.7129
d-step 42 epoch 1 : .......... average_loss = 0.3801, train_acc = 0.8245, val_acc = 0.6832
d-step 42 epoch 2 : .......... average_loss = 0.3780, train_acc = 0.8242, val_acc = 0.6634
d-step 42 epoch 3 : .......... average_loss = 0.3688, train_acc = 0.8299, val_acc = 0.6436
d-step 43 epoch 1 : .......... average_loss = 0.3829, train_acc = 0.8228, val_acc = 0.7129
d-step 43 epoch 2 : .......... average_loss = 0.3761, train_acc = 0.8278, val_acc = 0.6832
d-step 43 epoch 3 : .......... average_loss = 0.3672, train_acc = 0.8346, val_acc = 0.7228
d-step 44 epoch 1 : .......... average_loss = 0.3812, train_acc = 0.8198, val_acc = 0.6931
d-step 44 epoch 2 : .......... average_loss = 0.3760, train_acc = 0.8228, val_acc = 0.7030
d-step 44 epoch 3 : .......... average_loss = 0.3664, train_acc = 0.8324, val_acc = 0.6832
d-step 45 epoch 1 : .......... average_loss = 0.3730, train_acc = 0.8297, val_acc = 0.5941
d-step 45 epoch 2 : .......... average_loss = 0.3689, train_acc = 0.8307, val_acc = 0.5842
d-step 45 epoch 3 : .......... average_loss = 0.3630, train_acc = 0.8339, val_acc = 0.6535
d-step 46 epoch 1 : .......... average_loss = 0.3732, train_acc = 0.8291, val_acc = 0.7030
d-step 46 epoch 2 : .......... average_loss = 0.3654, train_acc = 0.8338, val_acc = 0.7129
d-step 46 epoch 3 : .......... average_loss = 0.3615, train_acc = 0.8340, val_acc = 0.6436
d-step 47 epoch 1 : .......... average_loss = 0.3735, train_acc = 0.8273, val_acc = 0.6436
d-step 47 epoch 2 : .......... average_loss = 0.3662, train_acc = 0.8336, val_acc = 0.6139
d-step 47 epoch 3 : .......... average_loss = 0.3610, train_acc = 0.8346, val_acc = 0.6733
d-step 48 epoch 1 : .......... average_loss = 0.3568, train_acc = 0.8381, val_acc = 0.6832
d-step 48 epoch 2 : .......... average_loss = 0.3489, train_acc = 0.8417, val_acc = 0.6436
d-step 48 epoch 3 : .......... average_loss = 0.3480, train_acc = 0.8439, val_acc = 0.6931
d-step 49 epoch 1 : .......... average_loss = 0.3596, train_acc = 0.8347, val_acc = 0.6634
d-step 49 epoch 2 : .......... average_loss = 0.3561, train_acc = 0.8387, val_acc = 0.6634
d-step 49 epoch 3 : .......... average_loss = 0.3514, train_acc = 0.8411, val_acc = 0.7426
d-step 50 epoch 1 : .......... average_loss = 0.3686, train_acc = 0.8316, val_acc = 0.6634
d-step 50 epoch 2 : .......... average_loss = 0.3612, train_acc = 0.8329, val_acc = 0.6832
d-step 50 epoch 3 : .......... average_loss = 0.3511, train_acc = 0.8404, val_acc = 0.6238
